TimeStamp,TimeStarted,DateStarted,Coder,ArticleID,ArticleIssues,ArticleLanguage,JIF,StudyType,PreReg,PreRegWhere,PreRegAccess,PreRegAspects,RawData,RawDataAvl,RawDataWhere,RawDataAccess,RawDataDocument,ProcessData,ProcessDataWhere,ProcessDataAccess,ProcessDataDocument,AnalysisScript,AnalysisScriptWhere,AnalysisScriptAccess,Materials,MaterialsWhere,MaterialsAccess,COI,Replication,OA,TimeEnded,DateEnded,CountryAuthor,EmpiricalStudyData,JIFYear,Year,year_split,clickable_doi,coder,round2_coder,Source.title,Agree,c
2021-11-09T10:01:12.065Z,1899-12-31T08:56:00Z,2021-11-09T00:00:00Z,LK,5ba83feb,There are no issues,Dutch,1.58,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T09:01:00Z,2021-11-09T00:00:00Z,Belgium,Experimental study,2020.0,2008,Pre-OS,http://doi.org/10.1007/s11525-009-9127-8,lk,,Morphology,TRUE,
2021-11-09T10:07:16.947Z,1899-12-31T09:02:00Z,2021-11-09T00:00:00Z,LK,44a75265,There are no issues,Arabic,0.8,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T09:07:00Z,2021-11-09T00:00:00Z,Sudan,Corpus study,2008.0,2008,Pre-OS,http://doi.org/10.1016/j.pragma.2007.11.001,lk,,Journal of Pragmatics,TRUE,
2021-11-09T10:14:03.354Z,1899-12-31T09:09:00Z,2021-11-09T00:00:00Z,LK,578b9ded,There are no issues,"Malay, English",1.596,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T09:13:00Z,2021-11-09T00:00:00Z,Malaysia,Discourse analysis,2020.0,2009,Pre-OS,http://doi.org/10.1177/0033688209105866,lk,tr,RELC Journal,TRUE,
2021-11-09T10:22:30.486Z,1899-12-31T09:20:00Z,2021-11-09T00:00:00Z,LK,4c18d71e,There are no issues,Old English,NA,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T09:22:00Z,2021-11-09T00:00:00Z,Spain,,NA,2009,Pre-OS,http://doi.org/10.2478/v10121-009-0005-6,lk,,Studia Anglica Posnaniensia,TRUE,
2021-11-09T10:27:45.521Z,1899-12-31T09:25:00Z,2021-11-09T00:00:00Z,LK,140ff9b3,Article is not about language,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T09:27:00Z,2021-11-09T00:00:00Z,,,,2009,Pre-OS,http://doi.org/10.7202/044782ar,lk,jc,"TTR: Traduction, Terminologie et Redaction",FALSE,
2021-11-09T10:31:19.751Z,1899-12-31T09:30:00Z,2021-11-09T00:00:00Z,LK,3ebf4add,Article is not about language,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T09:31:00Z,2021-11-09T00:00:00Z,,,,2009,Pre-OS,http://doi.org/10.1080/14664200903116295,lk,,Current Issues in Language Planning,TRUE,
2021-11-09T10:38:46.969Z,1899-12-31T09:33:00Z,2021-11-09T00:00:00Z,LK,7246c90d,There are no issues,English,NA,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T09:38:00Z,2021-11-09T00:00:00Z,USA,Experimental study,NA,2009,Pre-OS,http://doi.org/10.1044/0161-1461(2009/07-0096),lk,,"Language, Speech, and Hearing Services in Schools",TRUE,
2021-11-09T10:45:05.542Z,1899-12-31T09:42:00Z,2021-11-09T00:00:00Z,LK,ed2d44c4,There are no issues,universal,0.24,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T09:44:00Z,2021-11-09T00:00:00Z,The Netherlands,,2015.0,2009,Pre-OS,http://doi.org/10.1075/hl.36.1.05seu,lk,,Historiographia Linguistica,TRUE,
2021-11-09T16:20:14.778Z,1899-12-31T15:17:00Z,2021-11-09T00:00:00Z,LK,e57b8761,There are no issues,cross linguistic,0.441,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T15:20:00Z,2021-11-09T00:00:00Z,Portugal,,2010.0,2009,Pre-OS,http://doi.org/10.1080/14708470903203041,lk,,Language and Intercultural Communication,TRUE,
2021-11-09T16:24:52.877Z,1899-12-31T15:24:00Z,2021-11-09T00:00:00Z,LK,09a75114,Article is not about language,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T15:24:00Z,2021-11-09T00:00:00Z,,,,2008,Pre-OS,http://doi.org/10.1016/j.jcomdis.2007.10.003,lk,jc,Journal of Communication Disorders,FALSE,
2021-11-09T16:32:49.484Z,1899-12-31T15:26:00Z,2021-11-09T00:00:00Z,LK,405ba197,There are no issues,"Chinese, English",0.8,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:32:00Z,2021-11-09T00:00:00Z,China,Observational study,2008.0,2008,Pre-OS,http://doi.org/10.1016/j.pragma.2007.02.004,lk,,Journal of Pragmatics,TRUE,
2021-11-09T16:38:33.261Z,1899-12-31T15:34:00Z,2021-11-09T00:00:00Z,LK,34004670,There are no issues,English,3.271,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T15:38:00Z,2021-11-09T00:00:00Z,China,Survey or interview,2008.0,2008,Pre-OS,http://doi.org/10.1016/j.jml.2007.11.001,lk,,Journal of Memory and Language,TRUE,
2021-11-09T16:47:53.516Z,1899-12-31T15:45:00Z,2021-11-09T00:00:00Z,LK,7ec4eaeb,There are no issues,cross linguistic,NA,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T15:47:00Z,2021-11-09T00:00:00Z,Spain,,NA,2018,After-OS,http://doi.org/10.1080/09571736.2017.1382056,lk,,Language Learning Journal,TRUE,
2021-11-10T08:56:30.748Z,1899-12-31T07:52:00Z,2021-11-10T00:00:00Z,LK,dac84da4,There are no issues,"Chinese, English",0.533,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T07:56:00Z,2021-11-10T00:00:00Z,UK,Survey or interview,2018.0,2019,After-OS,http://doi.org/10.1017/S026607841800038X,lk,,English Today,TRUE,
2021-11-10T09:03:58.823Z,1899-12-31T08:00:00Z,2021-11-10T00:00:00Z,LK,455201d7,There are no issues,universal,2.838,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T08:03:00Z,2021-11-10T00:00:00Z,UK,,2019.0,2019,After-OS,http://doi.org/10.1017/S0272263119000160,lk,,Studies in Second Language Acquisition,TRUE,
2021-11-10T09:12:12.472Z,1899-12-31T08:06:00Z,2021-11-10T00:00:00Z,LK,1770de5b,There are no issues,"Spanish, German, Italian",0.647,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T08:12:00Z,2021-11-10T00:00:00Z,Italy,Survey or interview,2019.0,2019,After-OS,http://doi.org/10.1515/iral-2018-2007,lk,,IRAL - International Review of Applied Linguistics in Language Teaching,TRUE,
2021-11-10T09:22:41.195Z,1899-12-31T08:16:00Z,2021-11-10T00:00:00Z,LK,3ed5f9b7,There are no issues,"L2 English, Cross Linguistic",0.94,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T08:22:00Z,2021-11-10T00:00:00Z,USA,Discourse analysis,2020,2019,After-OS,http://doi.org/10.1080/15235882.2019.1589604,lk,tr,Bilingual Research Journal,TRUE,
2021-11-10T09:31:28.585Z,1899-12-31T08:30:00Z,2021-11-10T00:00:00Z,LK,4c82f2bc,Article is not about language,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T08:31:00Z,2021-11-10T00:00:00Z,,,,2019,After-OS,http://doi.org/10.1016/j.linged.2018.12.005,lk,jc,Linguistics and Education,FALSE,
2021-11-10T09:41:40.042Z,1899-12-31T08:36:00Z,2021-11-10T00:00:00Z,LK,5149062c,There are no issues,Arabic,NA,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T08:41:00Z,2021-11-10T00:00:00Z,Kuwait,Experimental study,NA,2019,After-OS,http://doi.org/10.1016/j.amper.2019.100050,lk,,Ampersand,TRUE,
2021-11-10T09:54:44.814Z,1899-12-31T08:47:00Z,2021-11-10T00:00:00Z,LK,8c013c3c,There are no issues,German,2.462,Data synthesis - Meta-analysis.,,,,,,,,,,,,,,"Yes, analysis scripts are freely available","An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",Yes,"Yes, materials or additional information about the method are freely available","An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",Yes,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T08:54:00Z,2021-11-10T00:00:00Z,Germany,Meta-analysis,2018.0,2018,After-OS,http://doi.org/10.1016/j.wocn.2018.06.001,lk,tr,Journal of Phonetics,TRUE,
2021-11-10T10:07:06.405Z,1899-12-31T09:02:00Z,2021-11-10T00:00:00Z,LK,bfd89fc9,There are no issues,Mandarin,1.039,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,"Text file, Audio","No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T09:06:00Z,2021-11-10T00:00:00Z,China,Field study or language description,2017.0,2018,After-OS,http://doi.org/10.1016/j.pragma.2017.06.013,lk,tr,Journal of Pragmatics,TRUE,
2021-11-10T10:16:05.828Z,1899-12-31T09:12:00Z,2021-11-10T00:00:00Z,LK,1bd48d3f,There are no issues,Russian,1.147,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T09:15:00Z,2021-11-10T00:00:00Z,Norway,Experimental study,2018.0,2018,After-OS,http://doi.org/10.1080/10489223.2017.1344847,lk,,Language Acquisition,TRUE,
2021-11-10T10:23:10.859Z,1899-12-31T09:18:00Z,2021-11-10T00:00:00Z,LK,1bbe2aee,There are no issues,cross linguistic,0.29,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Audio,"Yes, the statement says that the raw data are available.",Available from a third party,Can't find,Unclear,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T09:23:00Z,2021-11-10T00:00:00Z,India,Corpus study,2020,2018,After-OS,http://doi.org/10.1007/s10772-017-9481-6,lk,jc,International Journal of Speech Technology,TRUE,
2021-11-10T13:39:18.706Z,1899-12-31T12:33:00Z,2021-11-10T00:00:00Z,LK,d3efc028,There are no issues,Kiwoso,0.327,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T12:39:00Z,2021-11-10T00:00:00Z,Tanzania,,2019,2019,After-OS,http://doi.org/10.2989/16073614.2019.1692678,lk,jc,Southern African Linguistics and Applied Language Studies,TRUE,
2021-11-10T13:44:10.403Z,1899-12-31T12:40:00Z,2021-11-10T00:00:00Z,LK,e6612cb3,There are no issues,"English, Chinese",1.893,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T12:44:00Z,2021-11-10T00:00:00Z,Japan,Observational study,2019.0,2019,After-OS,http://doi.org/10.1016/j.jeap.2019.04.002,lk,,Journal of English for Academic Purposes,TRUE,
2021-11-10T13:50:47.988Z,1899-12-31T12:46:00Z,2021-11-10T00:00:00Z,LK,a9eca9d5,There are no issues,cross linguistic,0.769,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"Yes, materials or additional information about the method are freely available",Supplementary materials hosted by the journal,Yes,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T12:50:00Z,2021-11-10T00:00:00Z,France,Typological study,2019.0,2019,After-OS,http://doi.org/10.1515/lingty-2019-0016,lk,,Linguistic Typology,TRUE,
2021-11-10T14:01:03.545Z,1899-12-31T12:56:00Z,2021-11-10T00:00:00Z,LK,5ff4ba27,There are no issues,Ancient Greek,0.91,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available. (authors say dataset will be available upon completion)",NA,NA,NA,"No, processed data are not available. (authors say dataset will be available upon completion)",NA,NA,NA,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T13:00:00Z,2021-11-10T00:00:00Z,Norway,Typological study,2020.0,2018,After-OS,http://doi.org/10.1163/15699846-01801005,lk,ab,Journal of Greek Linguistics,TRUE,
2021-11-10T14:06:45.765Z,1899-12-31T13:03:00Z,2021-11-10T00:00:00Z,LK,7ced3d88,There are no issues,Polish,NA,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T13:06:00Z,2021-11-10T00:00:00Z,South Africa,Field study or language description,NA,2018,After-OS,http://doi.org/10.2478/rela-2018-0001,lk,,Research in Language,TRUE,
2021-11-10T14:20:27.892Z,1899-12-31T13:17:00Z,2021-11-10T00:00:00Z,LK,b77ff4cf,There are no issues,"Spanish, English",NA,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T13:20:00Z,2021-11-10T00:00:00Z,USA,Experimental study,NA,2019,After-OS,http://doi.org/10.1044/2019_JSLHR-H-18-0435,lk,,"Journal of Speech, Language, and Hearing Research",TRUE,
2021-11-10T14:24:37.749Z,1899-12-31T13:23:00Z,2021-11-10T00:00:00Z,LK,549cdf01,I don't have access to the full text,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-31T13:24:00Z,2021-11-10T00:00:00Z,,,,2019,After-OS,http://doi.org/,lk,,Linguistics Journal,TRUE,
2021-11-10T14:30:46.523Z,1899-12-31T13:26:00Z,2021-11-10T00:00:00Z,LK,429582a1,There are no issues,Spanish,0.22,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T13:30:00Z,2021-11-10T00:00:00Z,USA,Survey or interview,2020.0,2018,After-OS,http://doi.org/10.1558/sols.33154,lk,,Sociolinguistic Studies,TRUE,
2021-11-10T14:33:42.971Z,1899-12-31T13:31:00Z,2021-11-10T00:00:00Z,LK,5977089a,There are no issues,English,0.413,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T13:33:00Z,2021-11-10T00:00:00Z,USA,,2018.0,2018,After-OS,http://doi.org/10.1215/00031283-7271217,lk,,American Speech,TRUE,
2021-11-10T14:43:08.005Z,1899-12-31T13:38:00Z,2021-11-10T00:00:00Z,LK,4166b232,There are no issues,English,0.86,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Text file,"Yes, the statement says that the raw data are available.",Blog,Yes,No,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T13:42:00Z,2021-11-10T00:00:00Z,Italy,Corpus study,2020.0,2018,After-OS,http://doi.org/10.1075/ld.00004.bon,lk,,Language and Dialogue,TRUE,
2021-11-16T03:59:40.430Z,1899-12-31T21:53:00Z,2022-11-15T00:00:00Z,JC,65ff6c8c,There are no issues,cross linguistic,NA,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,"Audio, Video","No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T21:59:00Z,2022-11-15T00:00:00Z,Netherlands,Typological study,,2008,Pre-OS,http://doi.org/10.1016/j.cognition.2008.08.009,jc,,Cognition,TRUE,
2021-11-16T04:02:50.112Z,1899-12-31T22:01:00Z,2022-11-15T00:00:00Z,JC,565d8b79,There are no issues,Polish,NA,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T22:02:00Z,2022-11-15T00:00:00Z,Poland,,,2008,Pre-OS,http://doi.org/10.2478/v10010-008-0019-6,jc,,Poznan Studies in Contemporary Linguistics,TRUE,
2021-11-16T04:08:39.526Z,1899-12-31T22:03:00Z,2022-11-15T00:00:00Z,JC,fec5f16c,There are no issues,English,NA,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Audio,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T22:08:00Z,2022-11-15T00:00:00Z,Canada,observational study,,2008,Pre-OS,http://doi.org/10.1177/0267658307086302,jc,,Second Language Research,TRUE,
2021-11-16T18:41:09.827Z,1899-12-31T12:39:00Z,2022-11-16T00:00:00Z,JC,6d003942,There are no issues,cross linguistic,NA,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T12:40:00Z,2022-11-16T00:00:00Z,Poland,,,2009,Pre-OS,http://doi.org/10.2478/v10122-009-0005-y,jc,,Lingua Posnaniensis,TRUE,
2021-11-16T18:48:10.866Z,1899-12-31T12:40:00Z,2022-11-16T00:00:00Z,JC,30e21b3b,There are no issues,English,NA,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Video,"No, raw data are not available.  (GO TO SECTION 4.6)",,,,"No, processed data are not available. (GO TO SECTION 5)",,,,"No, analysis scripts are not available. (GO TO SECTION 6)",,,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"Yes, the statement says that there is no conflict of interest",The article claims to report a replication study (or studies),,1899-12-31T12:48:00Z,2022-11-16T00:00:00Z,UK,observational study,2014,2008,Pre-OS,http://doi.org/10.1044/1092-4388(2008/046),jc,lk,"Journal of Speech, Language, and Hearing Research",TRUE,
2021-11-16T18:52:21.964Z,1899-12-31T12:50:00Z,2022-11-16T00:00:00Z,JC,304d415e,There are no issues,Spanish,NA,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T12:52:00Z,2022-11-16T00:00:00Z,USA,,,2009,Pre-OS,http://doi.org/10.1075/sic.6.2.02val,jc,,Spanish in Context,TRUE,
2021-11-16T18:55:30.313Z,1899-12-31T12:54:00Z,2022-11-16T00:00:00Z,JC,ec9e35a3,There are no issues,English,NA,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T12:55:00Z,2022-11-16T00:00:00Z,USA,,,2009,Pre-OS,http://doi.org/10.1177/0957926509106413,jc,,Discourse and Society,TRUE,
2021-11-16T19:01:37.161Z,1899-12-31T12:57:00Z,2022-11-16T00:00:00Z,JC,2bfa9134,There are no issues,English,NA,Empirical data (specify the study type in the next step),"No, there is no preregistration. (GO TO SECTION 4)",,,,Audio,"Yes, the statement says that the raw data are available.",Upon request from the authors,No,Unclear,"Yes, the statement says that the processed data are available",Upon request from the authors,No,Unclear,"No, analysis scripts are not available. (GO TO SECTION 6)",NA,No,"No, materials or additional information about the method are not available. (GO TO SECTION 7)",,,"No, there is no conflict of interest statement",There is no clear statement that the article reports a replication study (or studies),,1899-12-31T13:01:00Z,2022-11-16T00:00:00Z,USA,Corpus study,2010,2009,Pre-OS,http://doi.org/10.1017/S0142716409090237,jc,ab,Applied Psycholinguistics,TRUE,
2021-11-16T19:10:05.236Z,1899-12-31T13:08:00Z,2022-11-16T00:00:00Z,JC,2745bc94,There are no issues,Italian,NA,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T13:09:00Z,2022-11-16T00:00:00Z,Spain,,,2009,Pre-OS,http://doi.org/10.1016/j.lingua.2008.10.005,jc,,Lingua,TRUE,
2021-11-16T19:16:55.890Z,1899-12-31T13:15:00Z,2022-11-16T00:00:00Z,JC,5918a6d7,There are no issues,English,NA,"No empirical data (e.g., editorials, commentaries [without reanalysis], simulations, news, reviews, theoretical).    (SKIP TO SECTION 8)",,,,,,,,,,,,,,,,,,,,"No, there is no conflict of interest statement",,,1899-12-31T13:16:00Z,2022-11-16T00:00:00Z,Israel,,,2008,Pre-OS,http://doi.org/10.1007/s10849-008-9057-6,jc,tr,"Journal of Logic, Language and Information",FALSE,
