Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Liddicoat, A.J., Scrimgeour, A., Chen, T.","24294921300; 25926718900; 56143995800","Intertextuality in Chinese high school students' essay writing",2008,"Language and Education",22,"6",,380,392,,,10.2167/le811.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749205734&partnerID=40&md5=6ddc367463a6fa748bf2d891db9cf05a",Article,Final,,Scopus,2-s2.0-57749205734
"Junqueira, E.S.","6506974631","Challenging the boundaries between standard and popular language situated in historical contexts: The communicative practices of high-school Brazilian students crafting hybrid multi-modal ways with words",2008,"Language and Education",22,"6",,393,410,,2,10.2167/le753.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749200516&partnerID=40&md5=62bd3b9fb5b44b52d0cf808ebcef5734",Article,Final,,Scopus,2-s2.0-57749200516
"Evans, S.","55214873600","The making of a colonial school: A study of language policies and practices in nineteenth-century Hong Kong",2008,"Language and Education",22,"6",,345,362,,6,10.2167/le744.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749198452&partnerID=40&md5=e98ac9da40e033395cd9780c0d89d2bc",Article,Final,,Scopus,2-s2.0-57749198452
"Holmes, J.","57214343443","Culture and identity in rural Africa: Representation through literacy",2008,"Language and Education",22,"6",,363,379,,1,10.2167/le813.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749191743&partnerID=40&md5=89631c90512fac03dfd198b4c9e63369",Article,Final,,Scopus,2-s2.0-57749191743
"Kondyli, M., Lykou, C.","8716385700; 25926541300","Defining and classifying in classroom discourse: Some evidence from Greek pre-school education",2008,"Language and Education",22,"6",,331,344,,3,10.2167/le765.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749187861&partnerID=40&md5=b6fc33f6a90675f2e48aa4c67448e8dd",Article,Final,,Scopus,2-s2.0-57749187861
"Teo, P.","22955091900","Outside in/inside out: Bridging the gap in literacy education in Singapore classrooms",2008,"Language and Education",22,"6",,411,431,,12,10.2167/le805.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749173874&partnerID=40&md5=b45655859fc97c229cbe2f861408b991",Article,Final,,Scopus,2-s2.0-57749173874
"Berk-Seligson, S.","6506426547","Judicial systems in contact: Access to justice and the right to interpreting/translating services among the Quichua of Ecuador",2008,"Interpreting",10,"1",,9,33,,17,10.1075/intp.10.1.03ber,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749141890&partnerID=40&md5=f302cf808ad0caac03945d50d2e0fa1c",Article,Final,,Scopus,2-s2.0-57749141890
"Takeda, K.","35085637900","Interpreting at the Tokyo War Crimes Tribunal",2008,"Interpreting",10,"1",,65,83,,10,10.1075/intp.10.1.05tak,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749135477&partnerID=40&md5=588675dcb0023c9b015bef1555b4d755",Article,Final,,Scopus,2-s2.0-57749135477
"Morris, R.","25522128200","Missing stitche: An overview of judicial attitudes to interlingual interpreting in the criminal justice systems of Canada and Israel",2008,"Interpreting",10,"1",,34,64,,15,10.1075/intp.10.1.04mor,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749131738&partnerID=40&md5=6f6b41479686747c0ebab21cb5f5aedb",Review,Final,,Scopus,2-s2.0-57749131738
"Jacobsen, B.","26035295100","Interactional pragmatics and court interpreting: An analysis of face",2008,"Interpreting",10,"1",,128,158,,29,10.1075/intp.10.1.08jac,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749130850&partnerID=40&md5=7af3837264cb77f3a8f7c01c3634dee5",Article,Final,,Scopus,2-s2.0-57749130850
"Christensen, T.P.","26035142600","Judges' deviations from norm-based direct speech in court",2008,"Interpreting",10,"1",,99,127,,7,10.1075/intp.10.1.07chr,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749127817&partnerID=40&md5=2c60d895bce2f36c14a62b136b879107",Article,Final,,Scopus,2-s2.0-57749127817
"Thesz, N.","23987361100","Adolescence in the 'ostalgie' generation: Reading Jakob Hein's Mein Erstes T-shirt against Sonnenallee, Zonenkinder, and Good Bye, Lenin!",2008,"Oxford German Studies",37,"1",,107,122,,,10.1179/174592108x334472,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950672683&partnerID=40&md5=b6aeb6b484859102a552fc332eba22d7",Article,Final,,Scopus,2-s2.0-60950672683
"Reeves, N.","52964321700","Retribution in the mountains: Schiller's Wilhelm Tell in the distorting mirror of Heine's Satire Atta Troll: Ein Sommernachtstraum",2008,"Oxford German Studies",37,"1",,27,35,,,10.1179/174592108x334418,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950490069&partnerID=40&md5=be58b5e553d19d0376fa4160a1979138",Article,Final,,Scopus,2-s2.0-60950490069
"Prawer, S.S.","36094831200","The dog, the knight, and the squire: Sigmund Freud's reading of Cervantes",2008,"Oxford German Studies",37,"1",,74,91,,,10.1179/174592108x334454,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950442485&partnerID=40&md5=7a77e7913807525a8f179e9903d8995a",Article,Final,,Scopus,2-s2.0-60950442485
"Jakobsson, Á.","26033384200","Egils saga and empathy: Emotions and moral issues in a dysfunctional Saga Family",2008,"Scandinavian Studies",80,"1",,1,18,,8,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950704657&partnerID=40&md5=89df12984fcabe397f6c26dc69b12857",Article,Final,,Scopus,2-s2.0-60950704657
"Thaler, P.","26035723000","Identity on a personal level: Sleswig biographies during the age of nationalism",2008,"Scandinavian Studies",80,"1",,51,84,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950654761&partnerID=40&md5=f75f1c40967acec2adbeae2a7cfbceee",Article,Final,,Scopus,2-s2.0-60950654761
"Hawes, J.","57190789276","The monstrosity of heroism: Grettir Ásmundarson as an outsider",2008,"Scandinavian Studies",80,"1",,19,50,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950497989&partnerID=40&md5=6e810be663b811121df836959b04a96f",Article,Final,,Scopus,2-s2.0-60950497989
"Vail, B.","23490691900","Ecological modernization at work? Environmental policy reform in Sweden at the turn of the century",2008,"Scandinavian Studies",80,"1",,85,108,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950390991&partnerID=40&md5=9478d2187ac47e2f86ad2d9b519bd196",Article,Final,,Scopus,2-s2.0-60950390991
"Mitchell, K.","55060780900","La Marchesa Colombi, Neera, Matilde Serao: Forging a female solidarity in late nineteenth-century journals for women",2008,"Italian Studies",63,"1",,63,84,,9,10.1179/007516308X270137,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249127624&partnerID=40&md5=d73096dbd6f8507a81cdba8db1d299d8",Article,Final,,Scopus,2-s2.0-51249127624
"Rees, K.","56260578900","Female-authored drama in early modern Padua: Valeria miani negri",2008,"Italian Studies",63,"1",,41,61,,5,10.1179/007516308X270128,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51249127623&partnerID=40&md5=f5b5d0f28a8b36ec790936df78d19d0a",Article,Final,,Scopus,2-s2.0-51249127623
"Mackenzie, C., Brady, M.","7202852928; 7202710019","Communication difficulties following right-hemisphere stroke: Applying evidence to clinical management",2008,"Evidence-Based Communication Assessment and Intervention",2,"4",,235,247,,14,10.1080/17489530802615336,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57649234975&partnerID=40&md5=021f38c0f9694ec542509a6d88cc2837",Article,Final,,Scopus,2-s2.0-57649234975
"Yoder, P., Lieberman, R.","7004377962; 25925240500","What does teaching declaratives tell us about the criteria by which we can judge the developmental importance of treatment outcomes?",2008,"Evidence-Based Communication Assessment and Intervention",2,"4",,225,234,,7,10.1080/17489530802632992,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57649205425&partnerID=40&md5=cb6ea747e674c63793aba30e3e748d6a",Article,Final,,Scopus,2-s2.0-57649205425
"Hahs-Vaughn, D., Nye, C.","11239791500; 24740896700","Understanding high quality research designs for speech language pathology",2008,"Evidence-Based Communication Assessment and Intervention",2,"4",,218,224,,11,10.1080/17489530802646323,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57649234979&partnerID=40&md5=7e213b1158628a4a7ee96c4bc4d17bfd",Article,Final,,Scopus,2-s2.0-57649234979
"Simpson, J.","55295705700","Tyndale as promoter of figural allegory and figurative language: A brief declaration of the sacraments",2008,"Archiv fur das Studium der Neueren Sprachen und Literaturen",245,"1",,37,53,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950627385&partnerID=40&md5=240a77561267d712917f3da6dd8bfc0a",Review,Final,,Scopus,2-s2.0-60950627385
"Eng, D.L.","11440973700","The end(s) of race",2008,"PMLA",123,"5",,1479,1493,,22,10.1632/pmla.2008.123.5.1479,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950742733&partnerID=40&md5=1819b528a58a509713c6411c7b139b02",Article,Final,,Scopus,2-s2.0-60950742733
"Waxler, R.P.","52964773600","Changing lives through literature",2008,"PMLA",123,"3",,678,682,,9,10.1632/pmla.2008.123.3.678,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950740233&partnerID=40&md5=2ab1a7c7e28561050c6cf057b203d7c9",Article,Final,,Scopus,2-s2.0-60950740233
[No author name available],[No author name available],"Althusser: Blowup (lineaments of a different thought)",2008,"PMLA",123,"3",,764,779,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950720169&partnerID=40&md5=8f1f5ab0bd157e01b4d8b45dcff1929c",Article,Final,,Scopus,2-s2.0-60950720169
"Rodríguez, J.C.","55710267900","Althusser: Blowup (lineaments of a different thought)",2008,"PMLA",123,"3",,762,764,,3,10.1632/pmla.2008.123.3.762,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950710504&partnerID=40&md5=ed8993bd0d9994d9ae09454dc8ad79ae",Article,Final,,Scopus,2-s2.0-60950710504
"Shih, S.-M.","25634822200","Comparative racialization: An introduction",2008,"PMLA",123,"5",,1347,1362,,51,10.1632/pmla.2008.123.5.1347,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950707008&partnerID=40&md5=2d6a2c862420195bcbc2224ef249a45e",Review,Final,,Scopus,2-s2.0-60950707008
"Chute, H.","26033475300","Comics as literature? Reading graphic narrative",2008,"PMLA",123,"2",,452,465,,163,10.1632/pmla.2008.123.2.452,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950705252&partnerID=40&md5=ccae283cc203afaf358816ecbffb61bd",Review,Final,,Scopus,2-s2.0-60950705252
"Yaron, I.","52964773400","What is a ""difficult poem""? Towards a definition",2008,"Journal of Literary Semantics",37,"2",,129,150,,7,10.1515/jlse.2008.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950692762&partnerID=40&md5=63219227215d7dbba009493252a884d8",Review,Final,,Scopus,2-s2.0-60950692762
"Smith, S.","56053703700","Love, pity, and deception in Othello",2008,"Papers on Language and Literature",44,"1",,3,66,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950682059&partnerID=40&md5=81f18b5961fda1f5e5d0971079e81512",Article,Final,,Scopus,2-s2.0-60950682059
"Collins, M.","53563282800","The consent of the governed in Ishmael Reed's The Freelance Pallbearers",2008,"PMLA",123,"2",,422,437,,1,10.1632/pmla.2008.123.2.422,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950660744&partnerID=40&md5=3bbf8afec1a94f4ad1778e2945aa45a3",Review,Final,,Scopus,2-s2.0-60950660744
"Viswanathan, G.","7005290025","Secularism in the framework of heterodoxy",2008,"PMLA",123,"2",,466,476,,34,10.1632/pmla.2008.123.2.466,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950625484&partnerID=40&md5=a4fa89c1e65488ada645cf312109d4c3",Review,Final,,Scopus,2-s2.0-60950625484
"Tapia, R.C.","36741397400","Profane illuminations: The gendered problematics of critical carceral visualities",2008,"PMLA",123,"3",,684,687,,5,10.1632/pmla.2008.123.3.684,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950621012&partnerID=40&md5=75c9092fc66b2cac3a53a08afc8b15d9",Article,Final,,Scopus,2-s2.0-60950621012
"Shailor, J.","52964429600","When muddy flowers bloom: The Shakespeare project at Racine Correctional Institution",2008,"PMLA",123,"3",,632,641,,3,10.1632/pmla.2008.123.3.632,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950608151&partnerID=40&md5=93218e0b718bc3f3d2cc6685652e9982",Article,Final,,Scopus,2-s2.0-60950608151
"Mao, D., Walkowitz, R.L.","55854918700; 26035914600","The new modernist studies",2008,"PMLA",123,"3",,737,747,,195,10.1632/pmla.2008.123.3.737,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950608143&partnerID=40&md5=8d816da495d866353b2ecf4d24013727",Article,Final,,Scopus,2-s2.0-60950608143
"Franklin, H.B.","52963625400","Can the penitentiary teach the academy how to read?",2008,"PMLA",123,"3",,643,649,,7,10.1632/pmla.2008.123.3.643,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950599684&partnerID=40&md5=38a1a023eb8b7d28c8e40b34e65c9fd9",Article,Final,,Scopus,2-s2.0-60950599684
"Lionnet, F.","26035659300","The Indies: Baudelaire's colonial world",2008,"PMLA",123,"3",,723,735,,11,10.1632/pmla.2008.123.3.723,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950595579&partnerID=40&md5=919deeb51ce2625671dd3d2e6bffdb88",Review,Final,,Scopus,2-s2.0-60950595579
"Holland, S.P.","35573699200","When characters lack character: A biomythography",2008,"PMLA",123,"5",,1494,1502,,2,10.1632/pmla.2008.123.5.1494,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950577296&partnerID=40&md5=e4954d58cd66055141f0bbc14d1f6945",Article,Final,,Scopus,2-s2.0-60950577296
"Potkay, A.","6507648122","Wordsworth and the ethics of things",2008,"PMLA",123,"2",,390,404,,26,10.1632/pmla.2008.123.2.390,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950549134&partnerID=40&md5=b4d3f11d920f38b488f2dab737999fd1",Review,Final,,Scopus,2-s2.0-60950549134
"Gordon, A.F.","9134110700","Methodologies of imprisonment",2008,"PMLA",123,"3",,651,657,,20,10.1632/pmla.2008.123.3.651,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950540743&partnerID=40&md5=f1b4fa773c9a9fd6cbfd650339c17723",Article,Final,,Scopus,2-s2.0-60950540743
"Linker, L.","36718565400","Mother and daughter. Augusta Webster and the maternal production of art",2008,"Papers on Language and Literature",44,"1",,,,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950532971&partnerID=40&md5=2f6a3fb213a00132d5f2d0d16bb97bbd",Article,Final,,Scopus,2-s2.0-60950532971
"Diengott, N.","26035451800","Structuralist narratology redux? Kafalenos' Narrative Causalities",2008,"Journal of Literary Semantics",37,"2",,169,178,,,10.1515/jlse.2008.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950530899&partnerID=40&md5=0fa65e9c6c63df2108973ec6b27cfebd",Review,Final,,Scopus,2-s2.0-60950530899
"Davidson, C.N.","36818906300","Humanities 2.0: Promise, perils, predictions",2008,"PMLA",123,"3",,707,717,,42,10.1632/pmla.2008.123.3.707,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950530767&partnerID=40&md5=2cfa55cde9e46ec5d9511b222a599195",Article,Final,,Scopus,2-s2.0-60950530767
"Sweeney, M.","55930830100","Books as bombs: Incendiary reading practices in women's prisons",2008,"PMLA",123,"3",,666,672,,5,10.1632/pmla.2008.123.3.666,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950510508&partnerID=40&md5=4e037dc576064d4cc7a0f2cc8ac58508",Review,Final,,Scopus,2-s2.0-60950510508
"Stone, J.","52964614700","Polyphony and the atomic age: Bakhtin's assimilation of an Einsteinian Universe",2008,"PMLA",123,"2",,405,421,,7,10.1632/pmla.2008.123.2.405,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950502923&partnerID=40&md5=5b602138f17f42c4b3a4aec2fa58dfea",Review,Final,,Scopus,2-s2.0-60950502923
"Murphy, T.P.","7401632009","Opening the pathway: Plot management and the pivotal seventh character in Daphne du Maurier's ""Don't Look Now""",2008,"Journal of Literary Semantics",37,"2",,151,168,,2,10.1515/jlse.2008.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950495936&partnerID=40&md5=116aeb73e537dea957c07e0bfdacc501",Review,Final,,Scopus,2-s2.0-60950495936
"Allewaert, M.","52963189400","Swamp sublime: Ecologies of resistance in the American plantation zone",2008,"PMLA",123,"2",,340,357,,28,10.1632/pmla.2008.123.2.340,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950489849&partnerID=40&md5=158a0fe53523410abf358d1d747c9294",Review,Final,,Scopus,2-s2.0-60950489849
"Szpila, G.","12786491600","Paremic verses: Proverbial meanings in Salman Rushdie's novels",2008,"Journal of Literary Semantics",37,"2",,97,127,,,10.1515/jlse.2008.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950484764&partnerID=40&md5=886db2437860fddcf9263c105ac41c59",Review,Final,,Scopus,2-s2.0-60950484764
"Dworkin, C.","26033435300","The poetry of sound",2008,"PMLA",123,"3",,755,761,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950478054&partnerID=40&md5=3673f1cde16ac67fbfc8d4a9f4dc91c0",Article,Final,,Scopus,2-s2.0-60950478054
"Green, A.M.","55456534100","Interior/exterior in the Harry Potter series: Duality expressed in Sirius Black and Remus Lupin",2008,"Papers on Language and Literature",44,"1",,88,89,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950472204&partnerID=40&md5=df4a9e39d188b3bca79ee78f540277ae",Article,Final,,Scopus,2-s2.0-60950472204
"Erzen, T.","26035399600","Religious literacy in the faith-based prison",2008,"PMLA",123,"3",,659,664,,2,10.1632/pmla.2008.123.3.659,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950470105&partnerID=40&md5=a393805f34da47c7546aff04e6530f11",Article,Final,,Scopus,2-s2.0-60950470105
"Trounstine, J.","37106702200","Beyond prison education",2008,"PMLA",123,"3",,674,677,,4,10.1632/pmla.2008.123.3.674,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950423312&partnerID=40&md5=72bd8229d7e148ad7e9f076d5e1d42c3",Article,Final,,Scopus,2-s2.0-60950423312
"Lionnet, F.","26035659300","Continents and archipelagoes: From E Pluribus Unum to creolized solidarities",2008,"PMLA",123,"5",,1503,1515,,16,10.1632/pmla.2008.123.5.1503,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950411534&partnerID=40&md5=08add1212cc32d945de353657d403e14",Article,Final,,Scopus,2-s2.0-60950411534
"Poresky, L.A.","37106497700","Cather and Woolf in dialogue: The professor's house and to the lighthouse",2008,"Papers on Language and Literature",44,"1",,67,70,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60950410051&partnerID=40&md5=297fddc3416949ffa4894f68aaba0018",Article,Final,,Scopus,2-s2.0-60950410051
"Callies, M., Keller, W.R.","57219908904; 36785247900","The teaching and acquisition of focus constructions: An integrated approach to language awareness across the curriculum",2008,"Language Awareness",17,"3",,249,266,,2,10.2167/la467.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349199409&partnerID=40&md5=040d82e4cee46f4a9f09b20a80c637ce",Article,Final,,Scopus,2-s2.0-57349199409
"Storch, N.","10140995500","Metatalk in a pair work activity: Level of engagement and implications for language development",2008,"Language Awareness",17,"2",,95,114,,83,10.2167/la431.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349190230&partnerID=40&md5=621ecd8bf07e12b171682d7f8a2f1f68",Article,Final,,Scopus,2-s2.0-57349190230
"Strauss, S.","7202952930","A conceptual approach to existential verbs in Japanese: The case of aru versus iru",2008,"Language Awareness",17,"3",,179,194,,,10.2167/la427.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349187933&partnerID=40&md5=c274672ee3f330e5193b964435f71b68",Article,Final,,Scopus,2-s2.0-57349187933
"Chien, C.-N., Kao, L.-H., Wei, L.","25824647000; 35874898200; 55198176500","The role of phonological awareness development in young Chinese EFL learners",2008,"Language Awareness",17,"4",,271,288,,8,10.2167/la440.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349181712&partnerID=40&md5=03a3e90afd2f9d891c0126ea2371f10c",Article,Final,,Scopus,2-s2.0-57349181712
"Dagenais, D., Walsh, N., Armand, F., Maraillet, E.","9734115700; 25825819000; 6603798318; 25825240100","Collaboration and co-construction of knowledge during language awareness activities in Canadian Elementary School",2008,"Language Awareness",17,"2",,139,155,,18,10.2167/la442.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349174509&partnerID=40&md5=8685b5e93a409953e9a1aa5398fcc0f9",Article,Final,,Scopus,2-s2.0-57349174509
"Thomas, C.A.","57199114680","Bridging the gap between theory and practice: Language policy in multilingual organisations",2008,"Language Awareness",17,"4",,307,325,,20,10.2167/la466.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349168134&partnerID=40&md5=c9cb517e7e9ad430830a0c5e4e3a3180",Article,Final,,Scopus,2-s2.0-57349168134
"Félix-Brasdefer, J.C.","6508044555","Perceptions of refusals to invitations: Exploring the minds of foreign language learners",2008,"Language Awareness",17,"3",,195,211,,33,10.2167/la430.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349154342&partnerID=40&md5=e8006242763f77b580b9b86a8375188d",Article,Final,,Scopus,2-s2.0-57349154342
"Sharifian, F.","22635401000","Aboriginal english in the classroom: An asset or a liability?",2008,"Language Awareness",17,"2",,131,138,,11,10.2167/la436.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349133037&partnerID=40&md5=5224f2270c31057b7bf5422c08de8227",Article,Final,,Scopus,2-s2.0-57349133037
"Gatbonton, E., Trofimovich, P.","12798376600; 12778397100","The ethnic group affiliation and L2 proficiency link: Empirical evidence",2008,"Language Awareness",17,"3",,229,248,,36,10.2167/la464.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349126280&partnerID=40&md5=107b8d1c602479183f9181f7b0522d45",Article,Final,,Scopus,2-s2.0-57349126280
"Egi, T.","23477318100","Investigating stimulated recall as a cognitive measure: Reactivity and verbal reports in SLA research methodology",2008,"Language Awareness",17,"3",,212,228,,16,10.1080/09658410802146859,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349120100&partnerID=40&md5=5f3929f2de794f89ed4e8c096ea385bd",Article,Final,,Scopus,2-s2.0-57349120100
"Ibarraran, A., Lasagabaster, D., Sierra, J.M.","56459021300; 25825336800; 36894030000","Multilingualism and language attitudes: Local versus immigrant students' perceptions",2008,"Language Awareness",17,"4",,326,341,,18,10.2167/la475.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349104098&partnerID=40&md5=e84b278a91db87ccc9c8a46a00833669",Article,Final,,Scopus,2-s2.0-57349104098
"Zhang, W., Hu, G.","37070734300; 25825009900","Second language learners' attitudes towards English varieties",2008,"Language Awareness",17,"4",,342,347,,9,10.2167/la479.0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57349102420&partnerID=40&md5=d988aa5dd898f49000993f17cf8cadaa",Article,Final,,Scopus,2-s2.0-57349102420
"Brosman, P.W.","26033853800","Hittite evidence and the myth of the amorphous neuter",2008,"Indogermanische Forschungen",113,"2008",,126,148,,,10.1515/9783110206630.126,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102588022&partnerID=40&md5=39cd99cdefa98f8ce695b04f2e880eb4",Article,Final,,Scopus,2-s2.0-85102588022
"Leek, T.","36489767700","Holda: Between folklore and linguistics",2008,"Indogermanische Forschungen",113,"2008",,312,338,,,10.1515/9783110206630.312,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102576466&partnerID=40&md5=95f97030a35cb12bdd323c231539993b",Article,Final,,Scopus,2-s2.0-85102576466
"Manco, A.","36023995000","On the toponym Schiava ‘slave’",2008,"Indogermanische Forschungen",113,"2008",,271,283,,,10.1515/9783110206630.271,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102571882&partnerID=40&md5=acbfb3a6167ae1d903668c23235ca9c3",Article,Final,,Scopus,2-s2.0-85102571882
"Shields, K.","14422874900","Indo-European emphatic pronouns and Skt. Pronominal -AM",2008,"Indogermanische Forschungen",113,"2008",,76,82,,,10.1515/9783110206630.76,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102565077&partnerID=40&md5=22805069f248066599f07763ae82920b",Article,Final,,Scopus,2-s2.0-85102565077
"Anghelina, C.","26038271700","The Latin gerund and gerundive: Active or passive meaning?",2008,"Indogermanische Forschungen",113,"2008",,197,206,,,10.1515/9783110206630.197,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102556543&partnerID=40&md5=b31ce1a1a5603fbe2080ee0e3953c98d",Article,Final,,Scopus,2-s2.0-85102556543
"Thomason, O.","36490528200","Notes on spatial semantics of Gothic prepositions",2008,"Indogermanische Forschungen",113,"2008",,284,298,,,10.1515/9783110206630.284,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102551464&partnerID=40&md5=b59153ae1945a24f75b7248c2b0068d5",Article,Final,,Scopus,2-s2.0-85102551464
"Woodhouse, R.","26033530700","The dual reflexes of Proto-Slavic <sup>*</sup>ų in the Freising Texts: A critique of Kortlandt’s accent-based theory",2008,"Indogermanische Forschungen",113,"",,299,311,,,10.1515/9783110206630.299,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026117417&partnerID=40&md5=b5642b7d12b12b3bd3d174a9da180a18",Article,Final,,Scopus,2-s2.0-85026117417
"Pârvulescu, A.","26654970900","“Food” and “oat”: A note on the etymology of Gk. (βϱóγoς and NE. oat",2008,"Indogermanische Forschungen",113,"",,187,192,,,10.1515/9783110206630.187,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026088633&partnerID=40&md5=d02d9a17299ab963ba21429c7ba66a34",Article,Final,,Scopus,2-s2.0-85026088633
"Peyrot, M.","36470843600","More Sanskrit - Tocharian B bilingual Udānavarga fragments",2008,"Indogermanische Forschungen",113,"",,83,125,,,10.1515/9783110206630.83,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026074334&partnerID=40&md5=b429d654c57e463c08ac931f294c0651",Article,Final,,Scopus,2-s2.0-85026074334
"Mihaïlova, B.","36490170800","Notes sur l'étymologie de gr. ἀλαóς ‘aveugle’, v. bulg. <sup>*</sup>slěЪ et ses congénères",2008,"Indogermanische Forschungen",113,"",,193,196,,,10.1515/9783110206630.193,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026033421&partnerID=40&md5=76cdfcba601ceda2fd54cdc969637b6d",Article,Final,,Scopus,2-s2.0-85026033421
"Pârvulescu, A.","26654970900","""Food"" and ""oat"": A note on the etymology of Gk. βρόμος and NE. oat",2008,"Indogermanische Forschungen",113,"",,187,192,,,10.1515/IDGF.2008.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77950719686&partnerID=40&md5=73b6c84346e47914bc112fbbca9da1ce",Review,Final,,Scopus,2-s2.0-77950719686
"Woodhouse, R.","26033530700","The dual reflexes of Proto-Slavic * ocombining ogonek in the freising texts: A critique of Kortlandt's accent-based theory",2008,"Indogermanische Forschungen",113,"",,299,311,,1,10.1515/IDGF.2008.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77950719423&partnerID=40&md5=e63472f42af68768936227269febcee8",Review,Final,,Scopus,2-s2.0-77950719423
"Anghelina, C.","26038271700","The Latin gerund and gerundive: Active or passive meaning?",2008,"Indogermanische Forschungen",113,"",,197,206,,,10.1515/IDGF.2008.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77950718919&partnerID=40&md5=f8ea15a83b7d0b6d997bd9579b706a79",Review,Final,,Scopus,2-s2.0-77950718919
