JIF,JIFYear,ArticleID,Source.title,Year
1.625,2019.0,dc800c82,Natural Language and Linguistic Theory,2019
,,18cf4788,TESL-EJ,2018
,,34bd38f5,"3L: Language, Linguistics, Literature",2018
,,f48a3051,Asian EFL Journal,2019
0.11,2018.0,d2c4f7a0,Journal of Research in Applied Linguistics,2018
,,0f760436,Semiotica,2019
0.8,2017.0,84326216,International Journal of Applied Linguistics (United Kingdom),2018
1.52,2019.0,30a32d49,Reading and Writing,2019
0.0,2018.0,d9ea6abb,Studies in Polish Linguistics,2018
0.64,2019.0,8328c7d1,TESOL Journal,2019
,,4b6296c5,Turkic Languages,2019
2.352,2019.0,036ef9f2,International Journal of Language and Communication Disorders,2019
0.29,2018.0,6ba0d34a,Russian Linguistics,2018
0.98,2018.0,f40502c8,Linguistic Inquiry,2018
1.27,2019.0,ea632f31,Language and Communication,2019
,,1eb53511,Spanish in Context,2019
,,53ecc183,Philologia Classica,2019
,,ddf2990d,Natural Language Engineering,2019
,,30630572,Applied Linguistics,2018
,,28825a50,Languages in Contrast,2019
,,be73e73d,International Journal of Bilingual Education and Bilingualism,2019
,,8.86E+11,International Journal of Lexicography,2018
,,a1d6bec3,Asian EFL Journal,2019
,,4cc96897,Studies in Second Language Acquisition,2018
,,04a09446,"Language, Cognition and Neuroscience",2018
,,327d341b,Journal of Fluency Disorders,2018
,,1332a93f,Language Variation and Change,2018
,,2d1d51f8,"Language, Cognition and Neuroscience",2018
NO ACCESS,,ca4b3845,Multilingua,2018
NO ACCESS,,aa2a4388,Teanga,2018
NO ACCESS,,984df235,International Review of Pragmatics,2019
NO ACCESS,,88acbfed,Natural Language and Linguistic Theory,2018
NO ACCESS,,69d205e9,"Language, Cognition and Neuroscience",2019
NO ACCESS,,f4a3d4ec,Language Sciences,2019
NO ACCESS,,584bac7f,International Journal of Language and Communication Disorders,2018
,,97d9cc49,Southern African Linguistics and Applied Language Studies,2019
NO ACCESS,,1d77cfd8,"Language, Speech, and Hearing Services in Schools",2019
NO ACCESS,,836dc5fa,Lingua,2019
NO ACCESS,,2bb80ddd,International Journal of Multilingualism,2019
NO ACCESS,,e36ab195,Natural Language and Linguistic Theory,2019
NO ACCESS,,caa447f1,Glottometrics,2019
NO ACCESS,,a9e98058,Interpreting,2019
NO ACCESS,,cd4622f8,Discourse Studies,2008
NO ACCESS,,4c17af36,Journal of Semitic Studies,2009
NO ACCESS,,eeeca0ab,Journal of Quantitative Linguistics,2008
NO ACCESS,,ca306313,Language Learning Journal,2008
NO ACCESS,,9e72d433,Linguistics and Language Compass,2008
NO ACCESS,,47b9d84d,Studia Slavica Academiae Scientiarum Hungaricae,2009
NO ACCESS,,d11947e0,Mind and Language,2008
NO ACCESS,,a934b552,Child Language Teaching and Therapy,2009
NO ACCESS,,da82dbe2,Linguistics,2008
NO ACCESS,,0b0540e6,Natural Language Engineering,2008
NO ACCESS,,4d4b192f,ReCALL,2019
NO ACCESS,,327416ec,Languages in Contrast,2019
,,6a316045,English Australia Journal,2018
NO ACCESS,,8ae2627d,Computational Linguistics,2019
NO ACCESS,,d3ebac3a,Journal of Psycholinguistic Research,2019
NO ACCESS,,5e677635,Studies in Second Language Acquisition,2018
NO ACCESS,,2c58c4ee,Concentric: Studies in Linguistics,2019
,,7c7843aa,XLinguae,2019
NO ACCESS,,33f02c8f,English for Specific Purposes,2018
NO ACCESS,,282ef69c,Journal of Multilingual and Multicultural Development,2018
NO ACCESS,,62eddcdc,Discourse Processes,2018
NO ACCESS,,c4de8978,Speech Communication,2018
NO ACCESS,,49cde95b,"Journal of Speech, Language, and Hearing Research",2018
NO ACCESS,,9b2649ee,Studies in Second Language Acquisition,2019
NO ACCESS,,77e82f80,Neophilologus,2018
NO ACCESS,,c4724409,Language,2018
NO ACCESS,,ea8e6f5f,Reading Psychology,2019
NO ACCESS,,10012f27,Computational Linguistics,2019
NO ACCESS,,5408749b,SiSal Journal,2019
