row_num,ID,clickable_doi,Title,Year,Authors,year_split,first_code_initials,first_code_include,first_code_reason,second_code_include,second_code_reason,second_code_initials
435,,http://doi.org/10.2478/v10121-009-0021-6,The pleasure of the eighteenth-century texts: The conflation of literary and critical discourse in the early novelistic tradition,2009,"Maciulewicz, J.",Pre-OS,iac 135,No,literature,NA,NA,NA
436,,http://doi.org/10.1044/0161-1461(2009/07-0096),Teaching students with reading difficulties to be close readers: A feasibility study,2009,"Katz, L.A., Carlisle, J.F.",Pre-OS,iac 136,Yes,NA,NA,NA,NA
437,,http://doi.org/10.1080/07908310903075159,English-only language-in-education policy in multilingual classrooms in ghana,2009,"Opoku-Amankwa, K.",Pre-OS,iac 137,Yes,NA,NA,NA,NA
438,,http://doi.org/10.1075/jlp.7.1.06sik,Ballistic missile defense and articulation theory an analysis of technology using a cultural studies approach,2008,"Sikka, T.",Pre-OS,iac 138,No,Terrorism,NA,NA,NA
439,,http://doi.org/10.1016/j.cognition.2007.11.009,Phonotactic probability influences speech production,2008,"Goldrick, M., Larson, M.",Pre-OS,iac 139,Yes,NA,NA,NA,NA
440,,http://doi.org/10.1515/IJSL.2008.022,Rethinking the Ausbau-Abstand dichotomy into a continuous and multivariate system,2008,"Fishman, J.A.",Pre-OS,iac 140,No Access,NA,NA,NA,NA
441,,http://doi.org/10.1016/j.langcom.2007.08.001,The 'language' problem,2008,"Hermann, J.",Pre-OS,iac 141,Yes,NA,NA,NA,NA
442,,http://doi.org/,Cognitive differences in second language learners and the critical period effects,2009,"de Bastos Figueiredo, S.A., da Silva, C.F.",Pre-OS,iac 142,No Access,NA,NA,NA,NA
443,,http://doi.org/10.1016/j.cognition.2007.09.002,Syntactic structure and artificial grammar learning: The learnability of embedded hierarchical structures,2008,"de Vries, M.H., Monaghan, P., Knecht, S., Zwitserlood, P.",Pre-OS,iac 143,Yes,NA,NA,NA,NA
444,,http://doi.org/10.2478/v10057-008-0006-x,Cognitive and lexical characteristics of Motion in liquid medium: AQUA-motion verbs in typologically different languages,2008,"Batoréo, H.J.",Pre-OS,iac 144,Yes,NA,NA,NA,NA
445,,http://doi.org/10.1016/j.bandl.2007.11.004,How left inferior frontal cortex participates in syntactic processing: Evidence from aphasia,2008,"Love, T., Swinney, D., Walenski, M., Zurif, E.",Pre-OS,iac 145,Yes,NA,NA,NA,NA
446,,http://doi.org/10.1177/0093650209346802,The priming effects of avatars in virtual settings,2009,"Peña, J., Hancock, J.T., Merola, N.A.",Pre-OS,iac 146,No,non-linguistic priming,NA,NA,NA
447,,http://doi.org/10.1590/s0102-44502008000300006,Learner autonomy in the light of freire,2008,"Nicolaides, C.S., Fernandes, V.",Pre-OS,iac 147,No Access,NA,NA,NA,NA
448,,http://doi.org/,Beyond the romantic gypsy: Narrative disruptions and ironies in Austen's Emma,2008,"White, L.M.",Pre-OS,iac 148,No,literature,NA,NA,NA
449,,http://doi.org/10.1093/fmls/cqp008,"Itsembabwoko \""à la française\""? - Rwanda, fiction and the franco-african imaginary",2009,"Hron, M.",Pre-OS,iac 149,No,literature,NA,NA,NA
450,,http://doi.org/10.1093/applin/amp030,A critical stance in language education: A reply to Alan waters,2009,"Simpson, J.",Pre-OS,iac 150,Yes,NA,NA,NA,NA
451,,http://doi.org/10.1075/ijcl.13.2.02dav,Type noun uses in the English NP: A case of right to left layering,2008,"Davidse, K., Brems, L., De Smedt, L.",Pre-OS,iac 151,Yes,NA,NA,NA,NA
452,,http://doi.org/10.1080/07350190701738825,The seduction of samuel butler: Rhetorical agency and the art of response,2008,"Nicotra, J.",Pre-OS,iac 152,Unsure,Rhetoric in literature,NA,NA,NA
453,,http://doi.org/10.1037/0278-7393.34.3.616,Speed and Accuracy of Accessing Information in Working Memory: An Individual Differences Investigation of Focus Switching,2008,"Unsworth, N., Engle, R.W.",Pre-OS,iac 153,No,Working memory,NA,NA,NA
454,,http://doi.org/10.1075/is.10.2.04yam,How did altruism and reciprocity evolve in humans?: Perspectives from experiments on chimpanzees (Pan troglodytes),2009,"Yamamoto, S., Tanaka, M.",Pre-OS,iac 154,No,Altruism & reciprocity,NA,NA,NA
455,,http://doi.org/10.1007/s10583-008-9062-z,Hunting reynard: How Reynard the Fox tricked his way into English and Dutch children's literature,2008,"Parlevliet, S.",Pre-OS,iac 155,No,literature,NA,NA,NA
456,,http://doi.org/10.1163/156853309X445016,Haggai and Ezekiel: The complicated relations between the two prophets,2009,"Kasher, R.",Pre-OS,iac 156,No,literature,NA,NA,NA
457,,http://doi.org/10.1007/s11168-008-9045-7,Is adjunction compositional?,2008,"Kracht, M.",Pre-OS,iac 157,Yes,NA,NA,NA,NA
458,,http://doi.org/10.1044/1092-4388(2009/08-0008),Producing American English vowels during vocal tract growth: A perceptual categorization study of synthesized vowels,2009,"Ménard, L., Davis, B.L., Boë, L.-J., Roy, J.-P.",Pre-OS,iac 158,Yes,NA,NA,NA,NA
459,,http://doi.org/10.1177/0963947009105853,"From now on we speak civilized Dutchgcirc: The authors of flanders, the language of the Netherlands, and the readers of A. manteau",2009,"Absillis, K.",Pre-OS,iac 159,Unsure,linguistics & literacy,NA,NA,NA
460,,http://doi.org/10.1080/o2666280701405960,"Writing the relief: Adrian stokes, ben nicholson and the architectonics of surface",2008,"Stephen, K.",Pre-OS,iac 160,No,lit review,NA,NA,NA
461,,http://doi.org/10.1177/0267323108101830,"Watching the detectives: Inside the guilty landscapes of inspector morse, baantjer and wallander",2009,"Reijnders, S.",Pre-OS,iac 161,No,detective show review,NA,NA,NA
462,,http://doi.org/10.1007/s10503-008-9109-8,Refutation by parallel argument,2009,"Juthe, A.",Pre-OS,iac 162,Unsure,philosophy/ parallel argument,NA,NA,NA
463,,http://doi.org/10.1353/sip.2008.0004,Wasting time in Ben Jonson's Epicoene,2008,"Martin, M.",Pre-OS,iac 163,No,poetry review,NA,NA,NA
464,,http://doi.org/10.1016/j.langsci.2008.12.009,Tachoni verbal tonology,2009,"Odden, D.",Pre-OS,iac 164,Yes,NA,NA,NA,NA
465,,http://doi.org/10.1044/1092-4388(2008/07-0046),"Babbling, chewing, and sucking: Oromandibular coordination at 9 months",2008,"Steeve, R.W., Moore, C.A., Green, J.R., Reilly, K.J., McMurtrey, J.R.",Pre-OS,iac 165,Unsure,Speaking and feeding,NA,NA,NA
466,,http://doi.org/10.1177/0739986308329031,Hispanic acculturation in a predominately black high school: Application of an adapted model,2009,"Hughes, C., Hollander, M.J., Martinez, A.W.",Pre-OS,iac 166,No,Race/ethnicity in school,NA,NA,NA
467,,http://doi.org/10.1016/j.bandl.2008.10.004,Contrast of hand preferences between communicative gestures and non-communicative actions in baboons: Implications for the origins of hemispheric specialization for language,2009,"Meguerditchian, A., Vauclair, J.",Pre-OS,iac 167,Yes,NA,NA,NA,NA
468,,http://doi.org/10.1016/j.pragma.2008.06.012,The meaning and interpretation of the Dutch particle wel,2009,"Hogeweg, L.",Pre-OS,iac 168,Yes,NA,NA,NA,NA
469,,http://doi.org/,Translation theories and functional texts: Application and effect on the translation of legal texts. An exemplary analysis | Übersetzungstheorien und gebrauchstexte: Anwendung und auswirkung auf das übersetzen von rechtstexten. Eine exemplarische analyse,2009,"Simonnæs, I.",Pre-OS,iac 169,No Access,NA,NA,NA,NA
470,,http://doi.org/10.1075/jpcl.23.2.03rus,Formalizing creole sound change: An optimality theoretic account,2008,"Webb, E.R.",Pre-OS,iac 170,Yes,NA,NA,NA,NA
471,,http://doi.org/10.1080/10570310802210114,The da Vinci Code as alchemical rhetoric,2008,"Gunn, J., Frentz, T.",Pre-OS,iac 171,No,lit review,NA,NA,NA
472,,http://doi.org/10.1016/j.specom.2007.10.001,The vocal communication of different kinds of smile,2008,"Drahota, A., Costall, A., Reddy, V.",Pre-OS,iac 172,Unsure,Non-verbal vocal emotional communication,NA,NA,NA
473,,http://doi.org/10.4314/lex.v19i2.49169,The treatment of borrowed nouns in Isichazamazwi SesiNdebele and Isichazamazwi SezoMculo,2009,"Ndlovu, E.",Pre-OS,iac 173,No Access,NA,NA,NA,NA
474,,http://doi.org/10.3828/AJFS.46.1-2.139,"A cultural numismatics: The \""chain\"" of economics in Montesquieu's Lettres persanes",2009,"Walsh, J.",Pre-OS,iac 174,No,non-linguistic history,NA,NA,NA
475,,http://doi.org/10.1598/RT.63.3.6,Using lemony snicket to bring smiles to your vocabulary lessons,2009,"Arter, L.M., Nilsen, A.P.",Pre-OS,iac 175,Unsure,Reading teaching practices,NA,NA,NA
476,,http://doi.org/10.1007/s10831-008-9023-y,Ditransitive idioms and argument structure,2008,"Kishimoto, H.",Pre-OS,iac 176,Yes,NA,NA,NA,NA
477,,http://doi.org/10.1017/S0261444808005077,"Assessing L2 reading texts at the intermediate level: An approximate replication of Crossley, Louwerse, McCarthy &amp; McNamara (2007)",2008,"Crossley, S.A., McNamara, D.S.",Pre-OS,iac 177,Yes,NA,NA,NA,NA
478,,http://doi.org/10.1515/zrph.2009.055,"Robert Ie Diable. Édition bilingue, Publication, traduction, présentation et notes par Élisabeth Gaucher",2009,"Matsumura, T.",Pre-OS,iac 178,No,In French,NA,NA,NA
479,,http://doi.org/10.1016/j.jml.2007.11.001,Salvaging a childhood language,2008,"Au, T.K.-f., Oh, J.S., Knightly, L.M., Jun, S.-A., Romo, L.F.",Pre-OS,iac 179,Yes,NA,NA,NA,NA
480,,http://doi.org/10.1163/156852509X339978,Δepsi;upsi;sigmav; In cornutus,2009,"Torres, J.B.",Pre-OS,iac 180,No Access,NA,NA,NA,NA
481,,http://doi.org/10.1080/02687030600927092,Testing single- and dual-route computational models of auditory repetition with new data from six aphasic patients,2008,"Baron, R., Hanley, J.R., Dell, G., Kay, J.",Pre-OS,iac 181,Yes,NA,NA,NA,NA
482,,http://doi.org/10.9793/elsj1984.25.452,The distribution of nominative case in modern irish,2008,"Maki, H., Baoill, D.P.O.",Pre-OS,iac 182,Yes,NA,NA,NA,NA
483,,http://doi.org/10.1075/sl&l.11.1.11ecc,Handshape coding made easier: A theoretically based notation for phonological transcription,2008,"Eccarius, P., Brentari, D.",Pre-OS,iac 183,No Access,NA,NA,NA,NA
484,,http://doi.org/10.1080/02773940801958453,Professor burke’s “bennington project”,2008,"Wible, S.",Pre-OS,iac 184,No,teaching practices,NA,NA,NA
485,,http://doi.org/10.1075/sic.6.2.02val,The iconization of Dominican Spanish in Pedro Henríquez Ureña's linguistic texts,2009,"Valdez, J.R.",Pre-OS,iac 185,Yes,NA,NA,NA,NA
486,,http://doi.org/10.1111/j.1468-2958.2008.00335.x,"Parsing the mechanisms that increase relational intimacy: The effects of uncertainty amount, open communication about uncertainty, and the reduction of uncertainty",2008,"Theiss, J.A., Solomon, D.H.",Pre-OS,iac 186,No,Relationship communication,NA,NA,NA
487,,http://doi.org/10.1093/res/hgn161,A credible omen of a more glorious event': Sir charles cotterells cassandra,2009,"Major, P.",Pre-OS,iac 187,No,Lit review,NA,NA,NA
488,,http://doi.org/10.1007/s10993-009-9142-y,Policing practices in heteroglossic mediascapes: A commentary on interfaces,2009,"Androutsopoulos, J.",Pre-OS,iac 188,Unsure,Language policy & media discourse,NA,NA,NA
489,,http://doi.org/10.1007/s11145-008-9138-6,Story writing skills of adults with a history language-impairment,2009,"Smith-Lock, K.M., Nickels, L., Mortensen, L.",Pre-OS,iac 189,Yes,NA,NA,NA,NA
490,,http://doi.org/10.1017/S0959269509990044,Second-person pronoun use in French language discussion fora,2009,"Williams, L., Van Compernolle, R.A.",Pre-OS,iac 190,Yes,NA,NA,NA,NA
491,,http://doi.org/10.1142/S1793351X09000732,Multi-version music search using acoustic feature union and exact soft mapping,2009,"Yu, Y., Joe, K., Oria, V., Moerchen, F., Downie, J.S., Chen, L.E.I.",Pre-OS,iac 191,No Access,NA,NA,NA,NA
492,,http://doi.org/10.1111/j.1467-968X.2009.01228.x,On the microsyntax of attributive adjectives,2009,"Matthews, P.H.",Pre-OS,iac 192,Yes,NA,NA,NA,NA
493,,http://doi.org/10.1044/1092-4388(2009/08-0114),Backward and simultaneous masking in children with grammatical specific language impairment: no simple link between auditory and language abilities,2009,"Rosen, S., Adlar, A., Van Der Lely, H.K.J.",Pre-OS,iac 193,Yes,NA,NA,NA,NA
494,,http://doi.org/,The nature of the particle suo in the passive constructions in Classical Chinese,2008,"Ting, J.",Pre-OS,iac 194,Yes,NA,NA,NA,NA
495,,http://doi.org/10.2989/SALALS.2008.26.4.7.679,A discourse-analytical approach to intertextual advertisements: A model to describe a dominant world-view,2008,"Van Niekerk, A.",Pre-OS,iac 195,Unsure,Intertextual messages in ads,NA,NA,NA
496,,http://doi.org/10.1037/a0014734,Long-Term Repetition Priming of Briefly Identified Objects,2009,"Breuer, A.T., Masson, M.E.J., Cohen, A.-L., Lindsay, D.S.",Pre-OS,iac 196,No,memory,NA,NA,NA
497,,http://doi.org/10.1111/j.1460-2466.2009.01418.x,Scaring the already scared: Some problems with HIV/AIDS fear appeals in Namibia,2009,"Muthusamy, N., Levine, T.R., Weber, R.",Pre-OS,iac 197,No,AIDS campaigns,NA,NA,NA
498,,http://doi.org/10.1016/j.system.2007.11.005,The effects of multimodality on L2 learners: Implications for CALL resource design,2008,"Guichon, N., McLornan, S.",Pre-OS,iac 198,Yes,NA,NA,NA,NA
499,,http://doi.org/10.1093/res/hgn001,Translating grace: The Scala Claustralium and A Ladder of Foure Ronges,2008,"Iguchi, A.",Pre-OS,iac 199,No,lit review,NA,NA,NA
500,,http://doi.org/10.1007/s11049-009-9083-3,Existential sentences in Tagalog,2009,"Sabbagh, J.",Pre-OS,iac 200,Yes,NA,NA,NA,NA
501,,http://doi.org/10.1016/j.cognition.2008.05.007,How counting represents number: What children must learn and when they learn it,2008,"Sarnecka, B.W., Carey, S.",Pre-OS,kc 101,No,cognition but not on language,NA,NA,NA
502,,http://doi.org/10.1075/prag.18.4.10ber,Do insults always insult? Genuine impoliteness versus non-genuine impoliteness in colloquial Spanish | ¿Insultan los insultos? Descortesía auténtica vs. descortesía no auténtica en Español coloquial,2008,"Bernal, M.",Pre-OS,kc 102,Yes,NA,NA,NA,NA
503,,http://doi.org/10.3109/14992020903131117,"Environmental noise reduction configuration: Effects on preferences, satisfaction, and speech understanding Environmental noise reduction configuration: Effects on preferences, satisfaction, and speech understanding",2009,"Zakis, J.A., Hau, J., Blamey, P.J.",Pre-OS,kc 103,Yes,NA,NA,NA,NA
504,,http://doi.org/10.1044/1092-4388(2009/07-0129),The university college london archive of stuttered speech (UCLASS),2009,"Howell, P., Davis, S., Bartrip, J.",Pre-OS,kc 104,Yes,NA,NA,NA,NA
505,,http://doi.org/10.1080/02687030701640289,Conceptualisation of deviations in intonation production in aphasia,2008,"Seddoh, S.A.",Pre-OS,kc 105,Yes,NA,NA,NA,NA
506,,http://doi.org/10.1075/jlp.7.3.05kol,Semiotic and cognitive aspects of city branding,2008,"Koller, V.",Pre-OS,kc 106,Yes,NA,NA,NA,NA
507,,http://doi.org/10.1007/s11049-008-9047-z,Cartography and licensing of wh-adjuncts: A cross-linguistic perspective,2008,"Stepanov, A., Tsai, W.-T.D.",Pre-OS,kc 107,Yes,NA,NA,NA,NA
508,,http://doi.org/10.1044/0161-1461(2008/023),Schoolchildren with dysphagia associated with medically complex conditions,2008,"Lefton-Greif, M.A., Arvedson, J.C.",Pre-OS,kc 108,No,roles of the speech-language pathologist (SLP) and assessment and treatment of swallowing and feeding problems,NA,NA,NA
509,,http://doi.org/10.1007/s10988-009-9063-4,Judgment ascriptions,2009,"Sæbø, K.J.",Pre-OS,kc 109,Yes,NA,NA,NA,NA
510,,http://doi.org/10.1016/j.specom.2007.11.005,Unsupervised intra-speaker variability compensation based on Gestalt and model adaptation in speaker verification with telephone speech,2008,"Yoma, N.B., Garretón, C., Molina, C., Huenupán, F.",Pre-OS,kc 110,Yes,NA,NA,NA,NA
511,,http://doi.org/10.1080/09500780903343070,Imagining higher education as a multilingual space,2009,"Preece, S., Martin, P.",Pre-OS,kc 111,Yes,NA,NA,NA,NA
512,,http://doi.org/,Aspects of mistranslation from english into Ibibio: The case of aids and the Ibibio language Equivalent,2008,"Ekpenyong, E.",Pre-OS,kc 112,Yes,NA,NA,NA,NA
513,,http://doi.org/,Effects of short-term memory and content representation type on mobile language learning,2008,"Chen, N.-S., Hsieh, S.-W., Kinshuk",Pre-OS,kc 113,Yes,NA,NA,NA,NA
514,,http://doi.org/10.1007/s10936-007-9059-6,Adaptive changes in grain-size in morphological processing,2008,"Lee, C.H.",Pre-OS,kc 114,Yes,NA,NA,NA,NA
515,,http://doi.org/10.1093/llc/fqp002,Evaluating methods for computer-assisted stemmatology using artificial benchmark data sets,2009,"Roos, T., Heikkilä, T.",Pre-OS,kc 115,Unsure,stemmatology. deals with variance of text. Maybe counted in historical linguistics?,NA,NA,NA
516,,http://doi.org/10.1007/s10988-008-9050-1,On the linguistic complexity of proper names,2008,"Matushansky, O.",Pre-OS,kc 116,Yes,NA,NA,NA,NA
517,,http://doi.org/10.1524/aofo.2009.0022,The appellate process in a legal record {di til-la} from Ur III Umma,2009,"Veenker, R., Johnson, J.C.",Pre-OS,kc 117,Unsure,historical legal text,NA,NA,NA
518,,"NA","Linguistic artistry in Sandra Cisneros' The House on Mango Street: A phonological analysis of \my name\"" 2008 ""Critica Hispanica",30,"Akins, A.V.",Pre-OS,kc 118,No Access,NA,NA,NA,NA
519,,http://doi.org/,The gift of seeing' - 'The eyes of faith': Visuelle evidenz und übersinnliches in Julian Barnes' Arthur &amp; George und anderen neo-viktorianischen detektivromanen,2008,"Zwierlein, A.-J.",Pre-OS,kc 119,No,literature,NA,NA,NA
520,,http://doi.org/,Quality of life in patients with hemiglossectomy: Comparison of the EORTC QLQ-H&amp;N35 and a semi-structured interview,2009,"Loewen, I.J., Boliek, C.A., Seikaly, H., Harris, J., Rieger, J.M.",Pre-OS,kc 120,No,head and neck cancer literature,NA,NA,NA
521,,http://doi.org/10.1422/29051,Routines and decisional processes in organizations: The public administration case | Routine e processi decisionali nelle organizzazioni: Il caso della pubblica amministrazione,2009,"Pozzali, A.",Pre-OS,kc 121,No Access,On Public Administration. Not in English.,NA,NA,NA
522,,http://doi.org/10.1093/fmls/cqn058,"Over our dead bodies: Emilia Pardo Bazán, Rosario Ferré, and the feminine fantastic",2008,"Scoular, B.T.",Pre-OS,kc 122,No,literature,NA,NA,NA
523,,http://doi.org/10.1075/aila.22.05lim,Beyond fear and loathing in SG: The real mother tongues and language policies in multilingual Singapore,2009,"Lim, L.",Pre-OS,kc 123,Yes,NA,NA,NA,NA
524,,http://doi.org/10.1080/10926480802223051,The journeys of life: Examining a conceptual metaphor with semantic and episodic memory recall,2008,"Katz, A.N., Taylor, T.E.",Pre-OS,kc 124,No,"conceptual metaphors, not on language",NA,NA,NA
525,,http://doi.org/10.1080/13682820802052067,Deaf teenagers with cochlear implants in conversation with hearing peers,2009,"Ibertsson, T., Hansson, K., Mäki-Torkko, E., Willstedtsvensson, U., Sahln, B.",Pre-OS,kc 125,Yes,NA,NA,NA,NA
526,,http://doi.org/10.1007/s12304-009-9060-6,On the emergence of living systems,2009,"Weber, B.H.",Pre-OS,kc 126,No,Biosemiosis,NA,NA,NA
527,,http://doi.org/10.1016/j.bandl.2008.01.002,Communicative impairment in traumatic brain injury: A complete pragmatic assessment,2008,"Angeleri, R., Bosco, F.M., Zettin, M., Sacco, K., Colle, L., Bara, B.G.",Pre-OS,kc 127,Yes,NA,NA,NA,NA
528,,http://doi.org/10.1093/notesj/gjp215,"Sir Walter Ralegh instructs his son, twice",2009,"Tromly, F.B.",Pre-OS,kc 128,No,literature,NA,NA,NA
529,,http://doi.org/,Sexuality in Hamlin Garland's Rose of Butcher's Coolly,2009,"Pizer, D.",Pre-OS,kc 129,No,literature,NA,NA,NA
530,,http://doi.org/10.1016/j.jslw.2007.12.001,Student reactions to teacher feedback in two Hong Kong secondary classrooms,2008,"Lee, I.",Pre-OS,kc 130,Yes,NA,NA,NA,NA
531,,http://doi.org/10.2167/jmmd548.0,Classroom discourse and discursive practices in higher education in tanzania,2008,"Mohamed, H.I., Banda, F.",Pre-OS,kc 131,Yes,NA,NA,NA,NA
532,,http://doi.org/10.1111/j.1468-2885.2009.01338.x,Socioscientific controversies: A theoretical and methodological framework,2009,"Stewart, C.O.",Pre-OS,kc 132,No,"communicatoin theory, although on discourse analysis",NA,NA,NA
533,,http://doi.org/10.1075/babel.55.2.03zha,Social context and translation of public notices,2009,"Meifang, Z.",Pre-OS,kc 133,Yes,NA,NA,NA,NA
534,,http://doi.org/,The Renaissance Linguistics Archive online,2009,"Van Hal, T.",Pre-OS,kc 134,No Access,NA,NA,NA,NA
535,,http://doi.org/10.1515/angl.2008.049,The poetics of geography in English-Canadian literature,2008,"Omhovère, C.",Pre-OS,kc 135,No,literature,NA,NA,NA
536,,http://doi.org/10.1017/S0305000907008264,Reliability and validity of the Computerized Comprehension Task (CCT): Data from American English and Mexican Spanish infants,2008,"Friend, M., Keplinger, M.",Pre-OS,kc 136,Yes,NA,NA,NA,NA
537,,http://doi.org/10.1556/SSlav.54.2009.2.3,True blue: On the syntax and connotations of colour and 'class membership' adjectives in Russian,2009,"Mostovaia, A.",Pre-OS,kc 137,Yes,NA,NA,NA,NA
538,,http://doi.org/10.1080/1750399x.2009.10798781,Research methodology in specialized genres for translation purposes,2009,"Borja Albi, A., García Izquierdo, I., Montalt, V.",Pre-OS,kc 138,Yes,NA,NA,NA,NA
539,,http://doi.org/10.1080/14992020902777225,The effect of tightened hearing protection regulations on military noise-induced tinnitus,2009,"Mrena, R., Savolainen, S., Kiukaanniemi, H., Ylikoski, J., Mkitie, A.A.",Pre-OS,kc 139,No,audiology,NA,NA,NA
540,,http://doi.org/10.1163/157007208X262866,Paschal politics: Deploying the Temple's destruction against fourth-century Judaizers,2008,"Shepardson, C.",Pre-OS,kc 140,No,history,NA,NA,NA
541,,http://doi.org/,Language and letters of the bluestocking network. Sociolinguistic issues in eighteenth-century epistolary English,2009,"Sairio, A.",Pre-OS,kc 141,Yes,NA,NA,NA,NA
542,,http://doi.org/10.1080/14992020801886796,The Malay hearing in noise test,2008,"Kar Quar, T., Zms Mukari, S., Alaudin Abdul Wahab, N., Abdul Razak, R., Omar, M., Maamor, N.",Pre-OS,kc 142,Yes,NA,NA,NA,NA
543,,http://doi.org/10.1080/17549500701790546,"Speech, hearing, and communication across five national disability surveys: Results of a DISTAB study using the ICF to compare prevalence patterns",2008,"Mulhorn, K.A., Threats, T.T.",Pre-OS,kc 143,No,surveys on communication but not specifically on language items,NA,NA,NA
544,,http://doi.org/10.1080/02666280802631118,"Making literature televisual: Olaug Nilssen's Get me on the air, godammit (2005)",2009,"Paulson, S.J., Gjelsvik, A.",Pre-OS,kc 144,No,literature,NA,NA,NA
545,,http://doi.org/10.1080/10350330802632790,Terror at the beach: Arab bodies and the somatic violence of white cartographic anxiety in Australia and Palestine/Israel,2009,"Farid, F.",Pre-OS,kc 145,No,"social semiotic, not on language",NA,NA,NA
546,,http://doi.org/10.1484/J.Peri.3.626,"Antiquity, authority, and religion in the epitomae and Epistolae of Virgilius Maro grammaticus",2008,"Naismith, R.",Pre-OS,kc 146,No,literature,NA,NA,NA
547,,http://doi.org/10.1080/00085006.2008.11092570,Ukrainian ballads in Canada: Adjusting to new life in a New Land,2008,"Kononenko, N.",Pre-OS,kc 147,No,anthropology,NA,NA,NA
548,,http://doi.org/,The Welsh glosses in the Vocabularium Cornicum,2009,"Blom, A.H.",Pre-OS,kc 148,No Access,NA,NA,NA,NA
549,,http://doi.org/10.1044/0161-1461(2008/009),The impact of early intervention on speech and lexical development for toddlers with cleft palate: A retrospective look at outcome,2008,"Hardin-Jones, M., Chapman, K.L.",Pre-OS,kc 149,Yes,NA,NA,NA,NA
550,,http://doi.org/10.1080/03634520701852050,Characteristics of parent-teacher e-mail communication,2008,"Thompson, B.",Pre-OS,kc 150,Yes,NA,NA,NA,NA
551,,http://doi.org/10.1177/0023830908099884,"Japanese mental syllabary and effects of mora, syllable, bi-mora and word frequencies on japanese speech production",2009,"Tamaoka, K., Makioka, S.",Pre-OS,kc 151,Yes,NA,NA,NA,NA
552,,http://doi.org/10.1080/14992020801887786,FIST: A French sentence test for speech intelligibility in noise,2008,"Luts, H., Boon, E., Wable, J., Wouters, J.",Pre-OS,kc 152,Yes,NA,NA,NA,NA
553,,http://doi.org/10.1177/0267658307086302,"The acquisition of articles in child second language English: Fluctuation, transfer or both?",2008,"Zdorenko, T., Paradis, J.",Pre-OS,kc 153,Yes,NA,NA,NA,NA
554,,http://doi.org/10.1002/j.1545-7249.2008.tb00213.x,The voice of a native speaker in the land of nonnative english speakers,2008,"Samimy, K.K.",Pre-OS,kc 154,Yes,NA,NA,NA,NA
555,,http://doi.org/10.1080/00138380802253014,Emily Brontë and the terrorist imagination,2008,"Ward, I.",Pre-OS,kc 155,No,literature,NA,NA,NA
556,,http://doi.org/10.1016/j.jeap.2008.02.004,Evaluative language in peer review referee reports,2008,"Fortanet, I.",Pre-OS,kc 156,Yes,NA,NA,NA,NA
557,,http://doi.org/10.1075/ijcl.14.3.01sco,In memory of Tim Johns,2009,"Scott, M.",Pre-OS,kc 157,Yes,NA,NA,NA,NA
558,,http://doi.org/10.1515/IPRG.2009.027,Religious references in contemporary Irish English: 'For the love of God almighty. . . . I'm a holy terror for turf',2009,"Farr, F., Murphy, B.",Pre-OS,kc 158,No,literature,NA,NA,NA
559,,http://doi.org/10.1016/j.jfludis.2008.09.002,Effects of altered auditory feedback (AAF) on stuttering frequency during monologue speech production,2008,"Antipova, E.A., Purdy, S.C., Blakeley, M., Williams, S.",Pre-OS,kc 159,Yes,NA,NA,NA,NA
560,,http://doi.org/10.1080/10489220902769234,Capturing the evasive passive,2009,"Crain, S., Thornton, R., Murasugi, K.",Pre-OS,kc 160,Yes,NA,NA,NA,NA
561,,http://doi.org/10.1044/0161-1461(2008/07-0053),Mexican American mothers of low and middle socioeconomic status: Communication behaviors and interactive strategies during shared book reading,2009,"Rodríguez, B.L., Hines, R., Montiel, M.",Pre-OS,kc 161,Yes,NA,NA,NA,NA
562,,http://doi.org/10.1632/pmla.2009.124.5.1704,The structuring enemy and archival war,2009,"Feldman, A.",Pre-OS,kc 162,No,history,NA,NA,NA
563,,http://doi.org/10.1080/02666280701637471,The son that does not shine in raphael's transfiguration,2008,"Herbert, J.D.",Pre-OS,kc 163,No,literature,NA,NA,NA
564,,http://doi.org/10.1515/les.2009.042,"Enjeux et perspectives de l'enseignement du français juridique (FJ), tremplin promotionnel du français langue internationale (FLI) face au plurilinguisme en Europe",2009,"Aussenac-Kern, M.",Pre-OS,kc 164,No,not in English,NA,NA,NA
565,,http://doi.org/,Illegal killing of soviet prisoners of war by finns during the finno-soviet continuation war of 1941-44,2009,"Kujala, A.",Pre-OS,kc 165,No,history,NA,NA,NA
566,,http://doi.org/10.1111/j.1944-9720.2009.01024.x,Online extensive reading for advanced foreign language learners: An evaluation study,2009,"Arnold, N.",Pre-OS,kc 166,Yes,NA,NA,NA,NA
567,,http://doi.org/10.1017/S1138741600004480,The relationships between functional and dysfunctional impulsivity and aggression across different samples,2008,"Vigil-Colet, A., Morales-Vives, F., Tous, J.",Pre-OS,kc 167,No,social psychologu not on language,NA,NA,NA
568,,http://doi.org/10.1515/IDGF.2008.009,"\""Food\"" and \""oat\"": A note on the etymology of Gk. βρόμος and NE. oat",2008,"Pârvulescu, A.",Pre-OS,kc 168,No Access,NA,NA,NA,NA
